Route	Call	Port	Time
77	6	CASABLANCA	9
77	7	VALENCIA	13
77	8	BARCELONA	14
77	9	ALGECIRAS	16
77	10	VALENCIA	17
77	11	ALGECIRAS	22
77	12	TANGER MED	23
77	13	LEIXOES	24
78	1	BREMERHAVEN	3
78	2	WILHELMSHAVEN	4
78	3	NORRKOPING	10
78	4	GAEVLE	11
78	5	GDANSK	13
78	6	GDYNIA	14
78	7	BREMERHAVEN	24
79	1	BREMERHAVEN	3
79	2	HAMBURG	4
79	3	KLAIPEDA	8
79	4	NORRKOPING	10
79	5	GAEVLE	11
79	6	RAUMA	12
79	7	GDANSK	14
79	8	GDYNIA	14
79	9	BREMERHAVEN	24
80	1	BREMERHAVEN	3
80	2	WILHELMSHAVEN	4
80	3	HELSINGBORG	6
80	4	HALMSTAD	7
80	5	GOTHENBURG	8
80	6	BREMERHAVEN	10
81	1	BELFAST	3
81	2	ANTWERP	6
81	3	BELFAST	10
82	1	BREMERHAVEN	3
82	2	HAMBURG	5
82	3	COPENHAGEN	8
82	4	HELSINGBORG	9
82	5	BREMERHAVEN	17
83	1	HAMBURG	3
83	2	BREMERHAVEN	5
83	3	HELSINGBORG	7
83	4	HALMSTAD	8
83	5	FREDRIKSTAD	9
83	6	HAMBURG	17
84	1	ANTWERP	3
84	2	ROTTERDAM	4
84	3	GOTHENBURG	8
84	4	ANTWERP	17
85	1	HAMBURG	3
85	2	WILHELMSHAVEN	6
85	3	OSLO	8
85	4	GOTHENBURG	9
85	5	HAMBURG	17
86	1	SOUTHAMPTON	3
86	2	DUBLIN	6
86	3	BELFAST	7
86	4	CORK	9
86	5	SOUTHAMPTON	17
87	1	ROTTERDAM	3
87	2	CORK	6
87	3	ROTTERDAM	10
88	1	ROTTERDAM	3
88	2	SOUTHAMPTON	7
88	3	BELFAST	10
88	4	DUBLIN	11
88	5	CORK	12
88	6	SOUTHAMPTON	15
88	7	ROTTERDAM	17
