TravelArc_ID	Route	origin_node_ID	origin_Call	origin_Port	Round_Trip	OriginTime	TravelTime	Destination_node_ID	Destination_Call	Destination_Port	DestinationTime
93	1	93	7	PORT EVERGLADES(FL)	13	106	3	94	8	NEW YORK(NY)	109
94	1	94	8	NEW YORK(NY)	13	109	2	109	2	BALTIMORE(MD)	111
95	1	95	2	BALTIMORE(MD)	14	97	3	96	3	CHARLESTON(SC)	100
96	1	96	3	CHARLESTON(SC)	14	100	1	97	4	PORT EVERGLADES(FL)	101
97	1	97	4	PORT EVERGLADES(FL)	14	101	4	98	5	CARTAGENA(CO)	105
98	1	98	5	CARTAGENA(CO)	14	105	2	99	6	MANZANILLO(PA)	107
99	1	99	6	MANZANILLO(PA)	14	107	6	100	7	PORT EVERGLADES(FL)	113
100	1	100	7	PORT EVERGLADES(FL)	14	113	3	101	8	NEW YORK(NY)	116
101	1	101	8	NEW YORK(NY)	14	116	2	116	2	BALTIMORE(MD)	118
102	1	102	2	BALTIMORE(MD)	15	104	3	103	3	CHARLESTON(SC)	107
103	1	103	3	CHARLESTON(SC)	15	107	1	104	4	PORT EVERGLADES(FL)	108
104	1	104	4	PORT EVERGLADES(FL)	15	108	4	105	5	CARTAGENA(CO)	112
105	1	105	5	CARTAGENA(CO)	15	112	2	106	6	MANZANILLO(PA)	114
106	1	106	6	MANZANILLO(PA)	15	114	6	107	7	PORT EVERGLADES(FL)	120
107	1	107	7	PORT EVERGLADES(FL)	15	120	3	108	8	NEW YORK(NY)	123
108	1	108	8	NEW YORK(NY)	15	123	2	123	2	BALTIMORE(MD)	125
109	1	109	2	BALTIMORE(MD)	16	111	3	110	3	CHARLESTON(SC)	114
110	1	110	3	CHARLESTON(SC)	16	114	1	111	4	PORT EVERGLADES(FL)	115
111	1	111	4	PORT EVERGLADES(FL)	16	115	4	112	5	CARTAGENA(CO)	119
112	1	112	5	CARTAGENA(CO)	16	119	2	113	6	MANZANILLO(PA)	121
113	1	113	6	MANZANILLO(PA)	16	121	6	114	7	PORT EVERGLADES(FL)	127
114	1	114	7	PORT EVERGLADES(FL)	16	127	3	115	8	NEW YORK(NY)	130
115	1	115	8	NEW YORK(NY)	16	130	2	130	2	BALTIMORE(MD)	132
116	1	116	2	BALTIMORE(MD)	17	118	3	117	3	CHARLESTON(SC)	121
117	1	117	3	CHARLESTON(SC)	17	121	1	118	4	PORT EVERGLADES(FL)	122
118	1	118	4	PORT EVERGLADES(FL)	17	122	4	119	5	CARTAGENA(CO)	126
119	1	119	5	CARTAGENA(CO)	17	126	2	120	6	MANZANILLO(PA)	128
120	1	120	6	MANZANILLO(PA)	17	128	6	121	7	PORT EVERGLADES(FL)	134
121	1	121	7	PORT EVERGLADES(FL)	17	134	3	122	8	NEW YORK(NY)	137
122	1	122	8	NEW YORK(NY)	17	137	2	137	2	BALTIMORE(MD)	139
123	1	123	2	BALTIMORE(MD)	18	125	3	124	3	CHARLESTON(SC)	128
124	1	124	3	CHARLESTON(SC)	18	128	1	125	4	PORT EVERGLADES(FL)	129
125	1	125	4	PORT EVERGLADES(FL)	18	129	4	126	5	CARTAGENA(CO)	133
126	1	126	5	CARTAGENA(CO)	18	133	2	127	6	MANZANILLO(PA)	135
127	1	127	6	MANZANILLO(PA)	18	135	6	128	7	PORT EVERGLADES(FL)	141
128	1	128	7	PORT EVERGLADES(FL)	18	141	3	129	8	NEW YORK(NY)	144
129	1	129	8	NEW YORK(NY)	18	144	2	144	2	BALTIMORE(MD)	146
130	1	130	2	BALTIMORE(MD)	19	132	3	131	3	CHARLESTON(SC)	135
131	1	131	3	CHARLESTON(SC)	19	135	1	132	4	PORT EVERGLADES(FL)	136
132	1	132	4	PORT EVERGLADES(FL)	19	136	4	133	5	CARTAGENA(CO)	140
133	1	133	5	CARTAGENA(CO)	19	140	2	134	6	MANZANILLO(PA)	142
134	1	134	6	MANZANILLO(PA)	19	142	6	135	7	PORT EVERGLADES(FL)	148
135	1	135	7	PORT EVERGLADES(FL)	19	148	3	136	8	NEW YORK(NY)	151
136	1	136	8	NEW YORK(NY)	19	151	2	151	2	BALTIMORE(MD)	153
137	1	137	2	BALTIMORE(MD)	20	139	3	138	3	CHARLESTON(SC)	142
138	1	138	3	CHARLESTON(SC)	20	142	1	139	4	PORT EVERGLADES(FL)	143
139	1	139	4	PORT EVERGLADES(FL)	20	143	4	140	5	CARTAGENA(CO)	147
140	1	140	5	CARTAGENA(CO)	20	147	2	141	6	MANZANILLO(PA)	149
141	1	141	6	MANZANILLO(PA)	20	149	6	142	7	PORT EVERGLADES(FL)	155
142	1	142	7	PORT EVERGLADES(FL)	20	155	3	143	8	NEW YORK(NY)	158
143	1	143	8	NEW YORK(NY)	20	158	2	158	2	BALTIMORE(MD)	160
144	1	144	2	BALTIMORE(MD)	21	146	3	145	3	CHARLESTON(SC)	149
145	1	145	3	CHARLESTON(SC)	21	149	1	146	4	PORT EVERGLADES(FL)	150
146	1	146	4	PORT EVERGLADES(FL)	21	150	4	147	5	CARTAGENA(CO)	154
147	1	147	5	CARTAGENA(CO)	21	154	2	148	6	MANZANILLO(PA)	156
148	1	148	6	MANZANILLO(PA)	21	156	6	149	7	PORT EVERGLADES(FL)	162
149	1	149	7	PORT EVERGLADES(FL)	21	162	3	150	8	NEW YORK(NY)	165
150	1	151	2	BALTIMORE(MD)	22	153	3	152	3	CHARLESTON(SC)	156
151	1	152	3	CHARLESTON(SC)	22	156	1	153	4	PORT EVERGLADES(FL)	157
152	1	153	4	PORT EVERGLADES(FL)	22	157	4	154	5	CARTAGENA(CO)	161
153	1	154	5	CARTAGENA(CO)	22	161	2	155	6	MANZANILLO(PA)	163
154	1	155	6	MANZANILLO(PA)	22	163	6	156	7	PORT EVERGLADES(FL)	169
155	1	156	7	PORT EVERGLADES(FL)	22	169	3	157	8	NEW YORK(NY)	172
156	1	158	2	BALTIMORE(MD)	23	160	3	159	3	CHARLESTON(SC)	163
157	1	159	3	CHARLESTON(SC)	23	163	1	160	4	PORT EVERGLADES(FL)	164
158	1	160	4	PORT EVERGLADES(FL)	23	164	4	161	5	CARTAGENA(CO)	168
159	1	161	5	CARTAGENA(CO)	23	168	2	162	6	MANZANILLO(PA)	170
160	1	162	6	MANZANILLO(PA)	23	170	6	163	7	PORT EVERGLADES(FL)	176
161	1	163	7	PORT EVERGLADES(FL)	23	176	3	164	8	NEW YORK(NY)	179
