TravelArc_ID	Route	origin_node_ID	origin_Call	origin_Port	Round_Trip	OriginTime	TravelTime	Destination_node_ID	Destination_Call	Destination_Port	DestinationTime
1018	5	1045	10	PARANAGUA	5	73	2	1046	11	SANTOS	75
1019	5	1046	11	SANTOS	5	75	13	1047	12	TANGER MED	88
1020	5	1047	12	TANGER MED	5	88	5	1048	13	LONDON GATEWAY PORT, ESS	93
1021	5	1048	13	LONDON GATEWAY PORT, ESS	5	93	1	1149	2	ROTTERDAM	94
1022	5	1049	1	LONDON GATEWAY PORT, ESS	6	37	1	1050	2	ROTTERDAM	38
1023	5	1050	2	ROTTERDAM	6	38	3	1051	3	HAMBURG	41
1024	5	1051	3	HAMBURG	6	41	3	1052	4	ANTWERP	44
1025	5	1052	4	ANTWERP	6	44	10	1053	5	TANGER MED	54
1026	5	1053	5	TANGER MED	6	54	13	1054	6	SANTOS	67
1027	5	1054	6	SANTOS	6	67	3	1055	7	PARANAGUA	70
1028	5	1055	7	PARANAGUA	6	70	3	1056	8	BUENOS AIRES	73
1029	5	1056	8	BUENOS AIRES	6	73	2	1057	9	MONTEVIDEO	75
1030	5	1057	9	MONTEVIDEO	6	75	5	1058	10	PARANAGUA	80
1031	5	1058	10	PARANAGUA	6	80	2	1059	11	SANTOS	82
1032	5	1059	11	SANTOS	6	82	13	1060	12	TANGER MED	95
1033	5	1060	12	TANGER MED	6	95	5	1061	13	LONDON GATEWAY PORT, ESS	100
1034	5	1061	13	LONDON GATEWAY PORT, ESS	6	100	1	1161	2	ROTTERDAM	101
1035	5	1062	1	LONDON GATEWAY PORT, ESS	7	44	1	1063	2	ROTTERDAM	45
1036	5	1063	2	ROTTERDAM	7	45	3	1064	3	HAMBURG	48
1037	5	1064	3	HAMBURG	7	48	3	1065	4	ANTWERP	51
1038	5	1065	4	ANTWERP	7	51	10	1066	5	TANGER MED	61
1039	5	1066	5	TANGER MED	7	61	13	1067	6	SANTOS	74
1040	5	1067	6	SANTOS	7	74	3	1068	7	PARANAGUA	77
1041	5	1068	7	PARANAGUA	7	77	3	1069	8	BUENOS AIRES	80
1042	5	1069	8	BUENOS AIRES	7	80	2	1070	9	MONTEVIDEO	82
1043	5	1070	9	MONTEVIDEO	7	82	5	1071	10	PARANAGUA	87
1044	5	1071	10	PARANAGUA	7	87	2	1072	11	SANTOS	89
1045	5	1072	11	SANTOS	7	89	13	1073	12	TANGER MED	102
1046	5	1073	12	TANGER MED	7	102	5	1074	13	LONDON GATEWAY PORT, ESS	107
1047	5	1074	13	LONDON GATEWAY PORT, ESS	7	107	1	1173	2	ROTTERDAM	108
1048	5	1075	1	LONDON GATEWAY PORT, ESS	8	51	1	1076	2	ROTTERDAM	52
1049	5	1076	2	ROTTERDAM	8	52	3	1077	3	HAMBURG	55
1050	5	1077	3	HAMBURG	8	55	3	1078	4	ANTWERP	58
1051	5	1078	4	ANTWERP	8	58	10	1079	5	TANGER MED	68
1052	5	1079	5	TANGER MED	8	68	13	1080	6	SANTOS	81
1053	5	1080	6	SANTOS	8	81	3	1081	7	PARANAGUA	84
