TravelArc_ID	Route	origin_node_ID	origin_Call	origin_Port	Round_Trip	OriginTime	TravelTime	Destination_node_ID	Destination_Call	Destination_Port	DestinationTime
193	1	198	3	NINGBO	20	137	4	199	4	SHEKOU	141
194	1	199	4	SHEKOU	20	141	5	200	5	SINGAPORE	146
195	1	200	5	SINGAPORE	20	146	8	201	6	NHAVA SHEVA	154
196	1	201	6	NHAVA SHEVA	20	154	2	202	7	MUNDRA	156
197	1	202	7	MUNDRA	20	156	2	203	8	PORT QASIM	158
198	1	203	8	PORT QASIM	20	158	2	204	9	KARACHI	160
199	1	204	9	KARACHI	20	160	8	205	10	SINGAPORE	168
200	1	205	10	SINGAPORE	20	168	8	206	11	QINGDAO	176
201	2	207	1	SHANGHAI	1	3	1	208	2	NINGBO	4
202	2	208	2	NINGBO	1	4	3	209	3	SHEKOU	7
203	2	209	3	SHEKOU	1	7	1	210	4	NANSHA	8
204	2	210	4	NANSHA	1	8	4	211	5	SINGAPORE	12
205	2	211	5	SINGAPORE	1	12	2	212	6	PORT KLANG	14
206	2	212	6	PORT KLANG	1	14	6	213	7	NHAVA SHEVA	20
207	2	213	7	NHAVA SHEVA	1	20	2	214	8	PIPAVAV	22
208	2	214	8	PIPAVAV	1	22	2	215	9	KARACHI	24
209	2	215	9	KARACHI	1	24	5	216	10	COLOMBO	29
210	2	216	10	COLOMBO	1	29	5	217	11	SINGAPORE	34
211	2	217	11	SINGAPORE	1	34	6	218	12	HONG KONG	40
212	2	218	12	HONG KONG	1	40	5	219	13	SHANGHAI	45
213	2	219	13	SHANGHAI	1	45	1	285	2	NINGBO	46
214	2	220	1	SHANGHAI	2	10	1	221	2	NINGBO	11
215	2	221	2	NINGBO	2	11	3	222	3	SHEKOU	14
216	2	222	3	SHEKOU	2	14	1	223	4	NANSHA	15
217	2	223	4	NANSHA	2	15	4	224	5	SINGAPORE	19
218	2	224	5	SINGAPORE	2	19	2	225	6	PORT KLANG	21
219	2	225	6	PORT KLANG	2	21	6	226	7	NHAVA SHEVA	27
220	2	226	7	NHAVA SHEVA	2	27	2	227	8	PIPAVAV	29
221	2	227	8	PIPAVAV	2	29	2	228	9	KARACHI	31
222	2	228	9	KARACHI	2	31	5	229	10	COLOMBO	36
223	2	229	10	COLOMBO	2	36	5	230	11	SINGAPORE	41
224	2	230	11	SINGAPORE	2	41	6	231	12	HONG KONG	47
225	2	231	12	HONG KONG	2	47	5	232	13	SHANGHAI	52
226	2	232	13	SHANGHAI	2	52	1	297	2	NINGBO	53
227	2	233	1	SHANGHAI	3	17	1	234	2	NINGBO	18
228	2	234	2	NINGBO	3	18	3	235	3	SHEKOU	21
229	2	235	3	SHEKOU	3	21	1	236	4	NANSHA	22
230	2	236	4	NANSHA	3	22	4	237	5	SINGAPORE	26
231	2	237	5	SINGAPORE	3	26	2	238	6	PORT KLANG	28
232	2	238	6	PORT KLANG	3	28	6	239	7	NHAVA SHEVA	34
233	2	239	7	NHAVA SHEVA	3	34	2	240	8	PIPAVAV	36
234	2	240	8	PIPAVAV	3	36	2	241	9	KARACHI	38
235	2	241	9	KARACHI	3	38	5	242	10	COLOMBO	43
236	2	242	10	COLOMBO	3	43	5	243	11	SINGAPORE	48
237	2	243	11	SINGAPORE	3	48	6	244	12	HONG KONG	54
238	2	244	12	HONG KONG	3	54	5	245	13	SHANGHAI	59
239	2	245	13	SHANGHAI	3	59	1	309	2	NINGBO	60
240	2	246	1	SHANGHAI	4	24	1	247	2	NINGBO	25
241	2	247	2	NINGBO	4	25	3	248	3	SHEKOU	28
242	2	248	3	SHEKOU	4	28	1	249	4	NANSHA	29
243	2	249	4	NANSHA	4	29	4	250	5	SINGAPORE	33
244	2	250	5	SINGAPORE	4	33	2	251	6	PORT KLANG	35
245	2	251	6	PORT KLANG	4	35	6	252	7	NHAVA SHEVA	41
246	2	252	7	NHAVA SHEVA	4	41	2	253	8	PIPAVAV	43
247	2	253	8	PIPAVAV	4	43	2	254	9	KARACHI	45
248	2	254	9	KARACHI	4	45	5	255	10	COLOMBO	50
249	2	255	10	COLOMBO	4	50	5	256	11	SINGAPORE	55
250	2	256	11	SINGAPORE	4	55	6	257	12	HONG KONG	61
