TravelArc_ID	Route	origin_node_ID	origin_Call	origin_Port	Round_Trip	OriginTime	TravelTime	Destination_node_ID	Destination_Call	Destination_Port	DestinationTime
143	1	145	2	SANTA CRUZ DE TENERIFE	21	149	1	146	3	LAS PALMAS	150
144	1	146	3	LAS PALMAS	21	150	1	147	4	AGADIR	151
145	1	147	4	AGADIR	21	151	4	148	5	ALGECIRAS	155
146	1	148	5	ALGECIRAS	21	155	4	149	6	GIJON	159
147	1	149	6	GIJON	21	159	1	150	7	BILBAO	160
148	1	150	7	BILBAO	21	160	12	151	8	ALGECIRAS	172
149	1	152	2	SANTA CRUZ DE TENERIFE	22	156	1	153	3	LAS PALMAS	157
150	1	153	3	LAS PALMAS	22	157	1	154	4	AGADIR	158
151	1	154	4	AGADIR	22	158	4	155	5	ALGECIRAS	162
152	1	155	5	ALGECIRAS	22	162	4	156	6	GIJON	166
153	1	156	6	GIJON	22	166	1	157	7	BILBAO	167
154	1	157	7	BILBAO	22	167	12	158	8	ALGECIRAS	179
